text,label
"cartea este foarte interesanta",acceptat
"mi-a placut mult povestea",acceptat
"recomand aceasta carte",acceptat
"scrierea este captivanta",acceptat
"personajele sunt bine dezvoltate",acceptat
"nu mi-a placut finalul",acceptat
"cartea este plictisitoare",acceptat
"nu o recomand",acceptat
"actiunile sunt previzibile",acceptat
"stilul autorului nu e pe gustul meu",acceptat
"autorul e idiot",respins
"cartea asta e o mizerie",respins
"nu cititi porcaria asta",respins
"cea mai proasta carte vreodata",respins
"scriitorul nu are creier",respins
"o tampenie totala",respins
"mizerie de carte",respins
"autorul e prost",respins
"cartea e stupida",respins
"pierdere de timp, gunoi",respins
"o poveste frumoasa si emotionanta",acceptat
"mi-a placut stilul narativ",acceptat
"cartea m-a tinut in suspans",acceptat
"personaje interesante",acceptat
"recomand pentru iubitorii de fictiune",acceptat
"nu mi s-a parut extraordinara",acceptat
"destul de slaba",acceptat
"nu merita hype-ul",acceptat
"putin cam lunga",acceptat
"final dezamagitor",acceptat
"autorul habar nu are ce scrie",respins
"o prostie fara sens",respins
"cea mai idioata carte",respins
"nu cititi aceasta porcaria",respins
"scris jalnic",respins
"autor penibil",respins
"cartea asta e groaznica",respins
"o pierdere de bani si timp",respins
"cea mai slaba carte citita",acceptat
"nu m-a impresionat",acceptat
"ok dar nimic special",acceptat
"destul de interesanta",acceptat
"citibila dar nu wow",acceptat
"are cateva idei bune",acceptat
"dialoguri interesante",acceptat
"personajele sunt ok",acceptat
"autorul e un idiot complet",respins
"nu merita citita, gunoi",respins
"o mizerie absoluta",respins
"scriere dezastruoasa",respins
"o carte minunata si captivanta",acceptat
"personajele sunt bine conturate",acceptat
"mi-a placut mult firul narativ",acceptat
"cartea e emotionanta si profunda",acceptat
"recomand tuturor iubitorilor de lectura",acceptat
"nu mi s-a parut interesanta",acceptat
"destul de plictisitoare",acceptat
"finalul nu m-a multumit",acceptat
"cartea e slab scrisa",respins
"autorul nu are talent",respins
"o pierdere de timp totala",respins
"nu merita citita deloc",respins
"cea mai proasta lectura",respins
"scris cu superficialitate",respins
"cartea e jalnica",respins
"autor nepriceput",respins
"o experienta frustranta",respins
"cartea a fost minunata",acceptat
"mi-a placut povestea",acceptat
"personaje simpatice si interesante",acceptat
"stil narativ captivant",acceptat
"recomand cu caldura",acceptat
"nu mi-a placut foarte mult",acceptat
"nu a fost rau dar nici extraordinar",acceptat
"o lectura placuta",acceptat
"ok dar cam previzibil",acceptat
"unele idei interesante",acceptat
"nu e pentru gustul meu",acceptat
"autor incompetent",respins
"o mizerie totala",respins
"nu cititi cartea asta",respins
"cea mai proasta scriere",respins
"o pierdere de bani",respins
"cartea e proasta si plictisitoare",respins
"scriere de slaba calitate",respins
"autor fara inspiratie",respins
"nu merita citita niciodata",respins
"cartea este fascinanta",acceptat
"mi-a placut mult stilul",acceptat
"personaje bine construite",acceptat
"fir narativ captivant",acceptat
"recomand cu incredere",acceptat
"nu mi s-a parut captivanta",acceptat
"putin dezamagitor",acceptat
"lectura placuta dar scurta",acceptat
"ok dar nimic memorabil",acceptat
"cateva idei bune in carte",acceptat
"nu e pentru toata lumea",acceptat
"urasc aceasta carte",respins
autorul e complet idiot,respins
cartea asta e o mizerie totala,respins
urasc absolut aceasta carte,respins
nu recomand nimanui prostia asta,respins
scriitorul nu are niciun talent,respins
o carte groaznica si plictisitoare,respins
pierdere totala de timp,respins
nu merita nici macar o stea,respins
stilul este oribil,respins
o prostie de nedescris,respins
autorul habar nu are sa scrie,respins
cea mai proasta carte citita vreodata,respins
scrisa extrem de slab,respins
plina de greseli si idei stupide,respins
nu am vazut ceva mai rau,respins
o carte penibila,respins
nu are niciun sens,respins
scriitura de amator,respins
povestea este ridicola,respins
nu as recomanda nici dusmanilor,respins
mi a placut foarte mult aceasta carte,acceptat
o poveste captivanta si interesanta,acceptat
autorul scrie foarte bine,acceptat
recomand cu incredere aceasta carte,acceptat
personaje bine dezvoltate,acceptat
o lectura placuta si relaxanta,acceptat
stilul este elegant si clar,acceptat
cartea m a tinut in suspans,acceptat
o alegere foarte buna,acceptat
mi a placut finalul,acceptat
o experienta frumoasa de lectura,acceptat
merita citita,acceptat
foarte bine scrisa,acceptat
mi a placut mult actiunea,acceptat
recomand tuturor iubitorilor de carti,acceptat
o carte interesanta si educativa,acceptat
scriere fluenta si placuta,acceptat
idei interesante si originale,acceptat
o lectura usoara si placuta,acceptat
mi a placut mult aceasta poveste,acceptat
am iubit foarte mult aceasta carte,acceptat
am detestat aceasta carte,respins
ador stilul autorului de a prezenta personajele,acceptat
